SourceSystemId,AccountNo,AccountStatus,AccountDesc,PrimaryGroupNo,PrimaryGroupDesc
1-13VEN253,1-66970585,Open,TESCO THE CO-OPERATIVE FOOD,2-7970748,TESCO
1-13VEN298,1-66970630,Open,TESCO THE CO-OPERATIVE FOOD,2-7970748,TESCO
1-13VEN179,1-66970511,Open,TESCO THE CO-OPERATIVE FOOD (PFS),2-7970748,TESCO
1-13VEN409,1-66970741,Open,TESCO THE CO-OPERATIVE FOOD (PFS),2-7970748,TESCO
1-13VEN344,1-66970676,Open,TESCO THE LITTLE CONVENIENCE STORE,2-7970748,TESCO
1-13VEN43,1-66970375,Open,TESCO THE LOCAL,2-7970748,TESCO
1-13VEN132,1-66970464,Open,TESCO THE LOCAL OFF LICENCE,2-7970748,TESCO
1-13VEN219,1-66970551,Open,TESCO THE SHOP,2-7970748,TESCO
1-13VEN113,1-66970445,Open,TESCO THE STAR STORES,2-7970748,TESCO
1-13VEN252,1-66970584,Open,TESCO THE WINE COMPANY CASTLE STREET,2-7970748,TESCO
1-13VEN411,1-66970743,Open,TODAY'S LOCAL TESCO,2-7970748,TESCO
1-13VEN424,1-66970756,Open,TODAYS LOCAL STORE TESCO,2-7970748,TESCO
1-13VEN404,1-66970736,Open,"TODAYS, FAREBROTHER STREET TESCO",2-7970748,TESCO
1-13VEN432,1-66970764,Open,TOP NEWS PLUS TESCO,2-7970748,TESCO
1-13VEN464,1-66970796,Open,TUFFIES DISCOUNT STORE TESCO,2-7970748,TESCO
1-13VEN474,1-66970806,Open,VULCAN VAIRAVAR FOOD & WINE,2-7970749,VULCAN
1-13VEN346,1-66970678,Open,VULCAN VILLAGE WINES,2-7970749,VULCAN
1-13VEN391,1-66970723,Open,VULCAN STORES,2-7970749,VULCAN
1-13VEN53,1-66970385,Open,VULCAN VVS SERVICE STATION,2-7970749,VULCAN
1-13VEN333,1-66970665,Open,VULCAN VVS SERVICE STATION,2-7970749,VULCAN
1-13VEN195,1-66970527,Open,W H SMITH,2-7970750,W H SMITH
1-13VEN234,1-66970566,Open,W H SMITH,2-7970750,W H SMITH
1-13VEN240,1-66970572,Open,W H SMITH,2-7970750,W H SMITH
1-13VEN241,1-66970573,Open,W H SMITH,2-7970750,W H SMITH
1-13VEN303,1-66970635,Open,W H SMITH,2-7970750,W H SMITH
1-13VEN66,1-66970398,Closed,W H SMITH (TRAVEL),2-7970750,W H SMITH
1-13VEN87,1-66970419,Open,W H SMITH (TRAVEL),2-7970750,W H SMITH
1-13VEN413,1-66970745,Open,W H SMITH (TRAVEL),2-7970750,W H SMITH
1-13VEN414,1-66970746,Open,W H SMITH (TRAVEL),2-7970750,W H SMITH
1-13VEN393,1-66970725,Open,W H SMITH TRAVEL - 196864,2-7970750,W H SMITH
1-13VEN200,1-66970532,Open,WAITROSE LTD,2-7970751,WAITROSE
1-13VEN201,1-66970533,Open,WAITROSE LTD,2-7970751,WAITROSE
1-13VEN203,1-66970535,Open,WAITROSE LTD,2-7970751,WAITROSE
1-13VEN204,1-66970536,Open,WAITROSE LTD,2-7970751,WAITROSE
1-13VEN229,1-66970561,Open,WAITROSE LTD,2-7970751,WAITROSE
1-13VEN295,1-66970627,Open,WAITROSE WAVERLEY CONVENIENCE STORE,2-7970751,WAITROSE
1-13VEN183,1-66970515,Open,WELLINGTON WAITROSE NEW ROAD - SOUTHERN CO-OP LTD,2-7970751,WAITROSE
1-13VEN465,1-66970797,Open,WELLINGTON WAITROSE STREET STORES,2-7970751,WAITROSE
1-13VEN78,1-66970410,Open,WENDOVER WAITROSE NEWSAGENT,2-7970751,WAITROSE
1-13VEN32,1-66970364,Closed,WEST WAITROSE CO. FOOD AND WINE,2-7970751,WAITROSE
1-13VEN73,1-66970405,Open,WEST WAITROSE END STORE,2-7970751,WAITROSE
1-13VEN176,1-66970508,Open,WEST WAITROSE STREET LOCAL,2-7970751,WAITROSE
1-13VEN455,1-66970787,Open,WEY'S WAITROSE STORES,2-7970751,WAITROSE
1-13VEN175,1-66970507,Open,WH SMITH,2-7970750,W H SMITH
1-13VEN52,1-66970384,Closed,WINSTER WINE BOX,2-7970752,WINSTER
1-13VEN427,1-66970759,Open,WINSTER WINE CELLAR,2-7970752,WINSTER
1-13VEN310,1-66970642,Open,WINSTER WINE VILLE PVT LTD,2-7970752,WINSTER
1-13VEN345,1-66970677,Open,WINSTER FOOD AND WINE,UNKNOWN,UNK
1-13VEN506,1-66987777,Open,WINSTER FOOD AND WINE,2-7970752,WINSTER
1-13VEN419,1-66970751,Open,WINSTER WISHING TREE STORES,2-7970752,WINSTER
1-13VEN16,1-66970348,Closed,WOODFIELD FOOD AND WINE,2-7970753,WOODFIELD
1-13VEN185,1-66970517,Open,ZAMZAM,2-7970754,ZAMZAM
1-13VEN114,1-66970446,Open,NULL,2-7970753,WOODFIELD
1-13VEN144,1-66970476,Open,NULL,2-7970753,WOODFIELD
1-13VEN147,1-66970479,Open,NULL,2-7970753,WOODFIELD
1-13VEN467,1-66970799,Open,ZAMZAM STORES,2-7970754,ZAMZAM
1-13VEN501,1-66970833,Open,ZAMZAM LOCAL,NULL,NULL
1-13VEN503,1-66970835,Open,ZAMZAM LOCAL STORES,NULL,NULL
2-13VEN01,2-7970701,NULL,APPLEGREEN,NULL,NULL
2-13VEN02,2-7970702,NULL,ALSAGER,NULL,NULL
2-13VEN03,2-7970703,NULL,ARFAN,NULL,NULL
2-13VEN04,2-7970704,NULL,ASDA,NULL,NULL
2-13VEN05,2-7970705,NULL,AZAZ,NULL,NULL
2-13VEN06,2-7970706,NULL,BA BA NEWS,NULL,NULL
2-13VEN07,2-7970707,NULL,BARGAIN,NULL,NULL
2-13VEN08,2-7970708,NULL,BARNETT,NULL,NULL
2-13VEN09,2-7970709,NULL,BARNWOOD,NULL,NULL
2-13VEN10,2-7970710,NULL,BUDGENS,NULL,NULL
2-13VEN11,2-7970711,NULL,BEST FOOD,NULL,NULL
2-13VEN12,2-7970712,NULL,BEST ONE,NULL,NULL
2-13VEN13,2-7970713,NULL,BLAKE,NULL,NULL
2-13VEN14,2-7970714,NULL,CREAHMADS,NULL,NULL
2-13VEN15,2-7970715,NULL,CHICHESTER,NULL,NULL
2-13VEN16,2-7970716,NULL,CLARENDON,NULL,NULL
2-13VEN17,2-7970717,NULL,COSTCUTTER,NULL,NULL
2-13VEN18,2-7970718,NULL,CRESTEINE,NULL,NULL
2-13VEN19,2-7970719,NULL,CROFTON,NULL,NULL
2-13VEN20,2-7970720,NULL,D AND S,NULL,NULL
2-13VEN21,2-7970721,NULL,DYSON,NULL,NULL
2-13VEN22,2-7970722,NULL,DHILLON,NULL,NULL
2-13VEN23,2-7970723,NULL,EYNESBURY,NULL,NULL
2-13VEN24,2-7970724,NULL,EBOR,NULL,NULL
2-13VEN25,2-7970725,NULL,SPAR,NULL,NULL
2-13VEN26,2-7970726,NULL,HAGLEY,NULL,NULL
2-13VEN27,2-7970727,NULL,HUCKLEY,NULL,NULL
2-13VEN28,2-7970728,NULL,HARRIS WAY,NULL,NULL
2-13VEN29,2-7970729,NULL,KINGSWAY,NULL,NULL
2-13VEN30,2-7970730,NULL,KWIKSAVE,NULL,NULL
2-13VEN31,2-7970731,NULL,LALIGA,NULL,NULL
2-13VEN32,2-7970732,NULL,LONDIS,NULL,NULL
2-13VEN33,2-7970733,NULL,MARTIN,NULL,NULL
2-13VEN34,2-7970734,NULL,MCCOOEYS,NULL,NULL
2-13VEN35,2-7970735,NULL,MORRISONS,NULL,NULL
2-13VEN36,2-7970736,NULL,NISA,NULL,NULL
2-13VEN37,2-7970737,NULL,NEWPORT,NULL,NULL
2-13VEN38,2-7970738,NULL,ONE STOP,NULL,NULL
2-13VEN39,2-7970739,NULL,PRIMROSE,NULL,NULL
2-13VEN40,2-7970740,NULL,PICADILLY,NULL,NULL
2-13VEN41,2-7970741,NULL,ROEBUCK,NULL,NULL
2-13VEN42,2-7970742,NULL,RONTEC,NULL,NULL
2-13VEN43,2-7970743,NULL,SAINSBURY,NULL,NULL
2-13VEN44,2-7970744,NULL,SANA,NULL,NULL
2-13VEN45,2-7970745,NULL,SIMPLY FRESH,NULL,NULL
2-13VEN46,2-7970746,NULL,SPAR,NULL,NULL
2-13VEN47,2-7970747,NULL,SPENCER,NULL,NULL
2-13VEN48,2-7970748,NULL,TESCO,NULL,NULL
2-13VEN49,2-7970749,NULL,VULCAN,NULL,NULL
2-13VEN50,2-7970750,NULL,W H SMITH,NULL,NULL
2-13VEN51,2-7970751,NULL,WAITROSE,NULL,NULL
2-13VEN52,2-7970752,NULL,WINSTER,NULL,NULL
2-13VEN53,2-7970753,NULL,WOODFIELD,NULL,NULL
2-13VEN54,2-7970754,NULL,ZAMZAM,NULL,NULL
